!SIL	sil
0	l iŋ_2
1853	y ii_4 b a_1 w uu_3 s an_1
1853	y ii_4 q i an_1 b a_1 b ai_3 w uu_3 sh iii_2 s an_1
1860	y au_1 b a_1 l i əu_4 l iŋ_2
1860	y ii_1 b a_1 l i əu_4 l iŋ_2
1860	y ii_1 q i an_1 b a_1 b ai_3 l i əu_4 sh iii_2
1860	y ii_4 b a_1 l i əu_4 l iŋ_2
1860	y ii_4 q i an_1 b a_1 b ai_3 l i əu_4 sh iii_2
1869	y au_1 b a_1 l i əu_4 j i əu_3
1869	y ii_1 b a_1 l i əu_4 j i əu_3
1869	y ii_1 q i an_1 b a_1 b ai_3 l i əu_4 sh iii_2 j i əu_3
1869	y ii_4 b a_1 l i əu_4 j i əu_3
1869	y ii_4 q i an_1 b a_1 b ai_3 l i əu_4 sh iii_2 j i əu_3
1879	y au_1 b a_1 q ii_1 j i əu_3
1879	y ii_1 b a_1 q ii_1 j i əu_3
1879	y ii_1 q i an_1 b a_1 b ai_3 q ii_1 sh iii_2 j i əu_3
1879	y ii_4 b a_1 q ii_1 j i əu_3
1879	y ii_4 q i an_1 b a_1 b ai_3 q ii_1 sh iii_2 j i əu_3
1880	y au_1 b a_1 b a_1 l iŋ_2
1880	y ii_1 b a_1 b a_1 l iŋ_2
1880	y ii_1 q i an_1 b a_1 b ai_3 b a_1 sh iii_2
1880	y ii_4 b a_1 b a_1 l iŋ_2
1880	y ii_4 q i an_1 b a_1 b ai_3 b a_1 sh iii_2
1895	y au_1 b a_1 j i əu_3 w uu_3
1895	y ii_1 b a_1 j i əu_3 w uu_3
1895	y ii_1 q i an_1 b a_1 b ai_3 j i əu_3 sh iii_2 w uu_3
1895	y ii_4 b a_1 j i əu_3 w uu_3
1895	y ii_4 q i an_1 b a_1 b ai_3 j i əu_3 sh iii_2 w uu_3
18k	y au_1 b a_1 k ei_4
18k	y ii_1 b a_1 k ei_4
18k	y ii_4 b a_1 k ei_4
18岁	sh iii_2 b a_1 s u ei_4
18岁的天空	sh iii_2 b a_1 s u ei_4 d ə_1 t i an_1 k uŋ_1
18岁的约定	y au_1 b a_1 s u ei_4 d ə_0 yue_1 d iŋ_4
1900	y au_1 j i əu_3 l iŋ_2 l iŋ_2
1900	y ii_1 j i əu_3 l iŋ_2 l iŋ_2
1900	y ii_1 q i an_1 j i əu_3 b ai_3
1900	y ii_4 j i əu_3 l iŋ_2 l iŋ_2
1900	y ii_4 q i an_1 j i əu_3 b ai_3
1911新中华	y ii_1 j i əu_3 y ii_1 y ii_1 x in_1 zh uŋ_1 h u a_2
1920	y au_1 j i əu_3 ər_4 l iŋ_2
1920	y ii_1 j i əu_3 ər_4 l iŋ_2
1920	y ii_1 q i an_1 j i əu_3 b ai_3 ər_4 sh iii_2
1920	y ii_4 j i əu_3 ər_4 l iŋ_2
1920	y ii_4 q i an_1 j i əu_3 b ai_3 ər_4 sh iii_2
1939	y au_1 j i əu_3 s an_1 j i əu_3
1939	y ii_1 j i əu_3 s an_1 j i əu_3
1939	y ii_1 q i an_1 j i əu_3 b ai_3 s an_1 sh iii_2 j i əu_3
1939	y ii_4 j i əu_3 s an_1 j i əu_3
1939	y ii_4 q i an_1 j i əu_3 b ai_3 s an_1 sh iii_2 j i əu_3
1943	y au_1 j i əu_3 s iii_4 s an_1
1943	y ii_1 j i əu_3 s iii_4 s an_1
1943	y ii_1 q i an_1 j i əu_3 b ai_3 s iii_4 sh iii_2 s an_1
1943	y ii_4 j i əu_3 s iii_4 s an_1
1943	y ii_4 q i an_1 j i əu_3 b ai_3 s iii_4 sh iii_2 s an_1
1949	y ii_1 j i əu_3 s iii_4 j i əu_3
1950	y au_1 j i əu_3 w uu_3 l iŋ_2
1950	y ii_1 j i əu_3 w uu_3 l iŋ_2
1950	y ii_1 q i an_1 j i əu_3 b ai_3 w uu_3 sh iii_2
1950	y ii_4 j i əu_3 w uu_3 l iŋ_2
1950	y ii_4 q i an_1 j i əu_3 b ai_3 w uu_3 sh iii_2
1952	y ii_1 j i əu_2 w uu_3 ər_4
1956	y au_1 j i əu_3 w uu_3 l i əu_4
1956	y ii_1 j i əu_3 w uu_3 l i əu_4
1956	y ii_1 q i an_1 j i əu_3 b ai_3 w uu_3 sh iii_2 l i əu_4
