!SIL	sil
0	l iŋ_2
汪东城控	w aŋ_1 d uŋ_1 ch əŋ_2 k uŋ_4
汪东城超级粉丝	w aŋ_1 d uŋ_1 ch əŋ_2 ch au_1 j ii_2 f ən_3 s iii_1
汪东成	w aŋ_1 d uŋ_1 ch əŋ_2
汪东林	w aŋ_1 d uŋ_1 l in_2
汪东进	w aŋ_1 d uŋ_1 j in_4
汪东风	w aŋ_1 d uŋ_1 f əŋ_1
汪中求	w aŋ_1 zh uŋ_1 q i əu_2
汪丹	w aŋ_1 d an_1
汪乃贵	w aŋ_1 n ai_3 g u ei_4
汪之斌	w aŋ_1 zh iii_1 b in_1
汪之瑞	w aŋ_1 zh iii_1 ʒ u ei_4
汪乔年	w aŋ_1 q i au_2 n i an_2
汪习根	w aŋ_1 x ii_2 g ən_1
汪云	w aŋ_1 yu n_2
汪云凤	w aŋ_1 yu n_2 f əŋ_4
汪云峰	w aŋ_1 yu n_2 f əŋ_1
汪云风	w aŋ_1 yu n_2 f əŋ_1
汪云鹏	w aŋ_1 yu n_2 p əŋ_2
汪亚卫	w aŋ_1 y a_4 w ei_4
汪亚尘	w aŋ_1 y a_4 ch ən_2
汪亮	w aŋ_1 l i aŋ_4
汪仁	w aŋ_1 ʒ ən_2
汪伟	w aŋ_1 w ei_3
汪伦	w aŋ_1 l u ən_2
汪伪	w aŋ_1 w ei_3
汪伪国民政府	w aŋ_1 w ei_3 g uɔ_2 m in_2 zh əŋ_4 f uu_3
汪伪政府	w aŋ_1 w ei_3 zh əŋ_4 f uu_3
汪伪政权	w aŋ_1 w ei_3 zh əŋ_4 q yu an_2
汪佩真	w aŋ_1 p ei_4 zh ən_1
汪佩蓉	w aŋ_1 p ei_4 ʒ uŋ_2
汪俊	w aŋ_1 j yu n_4
汪俊林	w aŋ_1 j yu n_4 l in_2
汪元亨	w aŋ_1 yu an_2 h əŋ_1
汪元量	w aŋ_1 yu an_2 l i aŋ_4
汪兆铭	w aŋ_1 zh au_4 m iŋ_2
汪兆镛	w aŋ_1 zh au_4 y uŋ_1
汪兆龄	w aŋ_1 zh au_4 l iŋ_2
汪先恩	w aŋ_1 x i an_1 ən_1
汪克宽	w aŋ_1 k ə_4 k u an_1
汪克尔	w aŋ_1 k ə_4 ər_3
汪关	w aŋ_1 g u an_1
汪军	w aŋ_1 j yu n_1
汪冰	w aŋ_1 b iŋ_1
汪凤炎	w aŋ_1 f əŋ_4 y an_2
汪凤藻	w aŋ_1 f əŋ_4 z au_3
汪刃锋	w aŋ_1 ʒ ən_4 f əŋ_1
汪刚	w aŋ_1 g aŋ_1
汪初	w aŋ_1 ch uu_1
汪剑	w aŋ_1 j i an_4
汪剑通	w aŋ_1 j i an_4 t uŋ_1
汪剑钊	w aŋ_1 j i an_4 zh au_1
汪劲松	w aŋ_1 j in_4 s uŋ_1
汪勇	w aŋ_1 y uŋ_3
汪卉	w aŋ_1 h u ei_4
汪华	w aŋ_1 h u a_2
汪卫斌	w aŋ_1 w ei_4 b in_1
汪受宽	w aŋ_1 sh əu_4 k u an_1
汪古	w aŋ_1 g uu_3
汪古惕	w aŋ_1 g uu_3 t ii_4
汪古部	w aŋ_1 g uu_3 b uu_4
汪后来	w aŋ_1 h əu_4 l ai_2
汪向东	w aŋ_1 x i aŋ_4 d uŋ_1
汪启淑	w aŋ_1 q ii_3 sh uu_1
汪品先	w aŋ_1 p in_3 x i an_1
汪啸风	w aŋ_1 x i au_4 f əŋ_1
汪喜孙	w aŋ_1 x ii_3 s u ən_1
汪嘉伟	w aŋ_1 j i a_1 w ei_3
汪国垣	w aŋ_1 g uɔ_2 yu an_2
汪国才	w aŋ_1 g uɔ_2 ts ai_2
汪国新	w aŋ_1 g uɔ_2 x in_1
汪国真	w aŋ_1 g uɔ_2 zh ən_1
汪国辉	w aŋ_1 g uɔ_2 h u ei_1
汪国钧	w aŋ_1 g uɔ_2 j yu n_1
汪圆圆	w aŋ_1 yu an_2 yu an_2
汪坚辛	w aŋ_1 j i an_1 x in_1
汪培珽	w aŋ_1 p ei_2 t iŋ_3
汪大东	w aŋ_1 d a_4 d uŋ_1
汪大海	w aŋ_1 d a_4 h ai_3
汪天云	w aŋ_1 t i an_1 yu n_2
汪天稳	w aŋ_1 t i an_1 w ən_3
汪太太	w aŋ_1 t ai_4 t ai_4
汪如藻	w aŋ_1 ʒ uu_2 z au_3
汪妤凌	w aŋ_1 yu_2 l iŋ_2
汪姓	w aŋ_1 x iŋ_4
汪子	w aŋ_1 z iii_3
汪子涵	w aŋ_1 z iii_3 h an_2
汪字	w aŋ_1 z iii_4
汪宇明	w aŋ_1 yu_3 m iŋ_2
汪安钧	w aŋ_1 an_1 j yu n_1
汪宏	w aŋ_1 h uŋ_2
汪宏钰	w aŋ_1 h uŋ_2 yu_4
汪宗沂	w aŋ_1 z uŋ_1 y ii_2
汪宗翰	w aŋ_1 z uŋ_1 h an_4
汪宝根	w aŋ_1 b au_3 g ən_1
汪家山	w aŋ_1 j i a_1 sh an_1
汪寅仙	w aŋ_1 y in_2 x i an_1
汪寿华	w aŋ_1 sh əu_4 h u a_2
汪寿阳	w aŋ_1 sh əu_4 y aŋ_2
汪小亭	w aŋ_1 x i au_3 t iŋ_2
汪小姐	w aŋ_1 x i au_3 j ie_3
汪小平	w aŋ_1 x i au_3 p iŋ_2
汪小敏	w aŋ_1 x i au_2 m in_3
汪小明	w aŋ_1 x i au_3 m iŋ_2
汪小菲	w aŋ_1 x i au_3 f ei_1
汪小金	w aŋ_1 x i au_3 j in_1
汪尔康	w aŋ_1 ər_3 k aŋ_1
汪山土库	w aŋ_1 sh an_1 t uu_3 k uu_4
汪岳云	w aŋ_1 yue_4 yu n_2
汪峰	w aŋ_1 f əŋ_1
汪峰控	w aŋ_1 f əŋ_1 k uŋ_4
汪嵩	w aŋ_1 s uŋ_1
汪帆	w aŋ_1 f an_1
汪师韩	w aŋ_1 sh iii_1 h an_2
汪希苓	w aŋ_1 x ii_1 l iŋ_2
汪帮主	w aŋ_1 b aŋ_1 zh uu_3
汪平	w aŋ_1 p iŋ_2
汪广洋	w aŋ_1 g u aŋ_3 y aŋ_2
汪庄	w aŋ_1 zh u aŋ_1
汪庄村	w aŋ_1 zh u aŋ_1 ts u ən_1
汪庄茶	w aŋ_1 zh u aŋ_1 ch a_2
汪庆	w aŋ_1 q iŋ_4
汪庆元	w aŋ_1 q iŋ_4 yu an_2
汪康	w aŋ_1 k aŋ_1
汪康年	w aŋ_1 k aŋ_1 n i an_2
汪康懋	w aŋ_1 k aŋ_1 m au_4
汪延	w aŋ_1 y an_2
汪廷珍	w aŋ_1 t iŋ_2 zh ən_1
汪廷讷	w aŋ_1 t iŋ_2 n ə_4
汪建	w aŋ_1 j i an_4
汪建伟	w aŋ_1 j i an_4 w ei_3
汪建国	w aŋ_1 j i an_4 g uɔ_2
汪建平	w aŋ_1 j i an_4 p iŋ_2
汪建民	w aŋ_1 j i an_4 m in_2
汪强	w aŋ_1 q i aŋ_2
汪律本	w aŋ_1 l yu_4 b ən_3
汪御史	w aŋ_1 yu_4 sh iii_3
汪德和	w aŋ_1 d ə_2 h ə_2
汪德昭	w aŋ_1 d ə_2 zh au_1
汪德祖	w aŋ_1 d ə_2 z uu_3
汪德耀	w aŋ_1 d ə_2 y au_4
汪德臣	w aŋ_1 d ə_2 ch ən_2
汪志	w aŋ_1 zh iii_4
汪志伊	w aŋ_1 zh iii_4 y ii_1
汪志远	w aŋ_1 zh iii_4 yu an_3
汪忠	w aŋ_1 zh uŋ_1
汪怡	w aŋ_1 y ii_2
汪恩禄	w aŋ_1 ən_1 l uu_4
汪惟效	w aŋ_1 w ei_2 x i au_4
汪慧	w aŋ_1 h u ei_4
汪懋麟	w aŋ_1 m au_4 l in_2
汪戎	w aŋ_1 ʒ uŋ_2
汪成民	w aŋ_1 ch əŋ_2 m in_2
汪成荣	w aŋ_1 ch əŋ_2 ʒ uŋ_2
汪振国	w aŋ_1 zh ən_4 g uɔ_2
汪控	w aŋ_1 k uŋ_4
汪政	w aŋ_1 zh əŋ_4
汪政纬	w aŋ_1 zh əŋ_4 w ei_3
汪敏	w aŋ_1 m in_3
汪敬	w aŋ_1 j iŋ_4
汪敬虞	w aŋ_1 j iŋ_4 yu_2
汪文	w aŋ_1 w ən_2
汪文华	w aŋ_1 w ən_2 h u a_2
汪文斌	w aŋ_1 w ən_2 b in_1
汪文溥	w aŋ_1 w ən_2 p uu_3
汪文言	w aŋ_1 w ən_2 y an_2
汪斌	w aŋ_1 b in_1
汪新	w aŋ_1 x in_1
汪旭	w aŋ_1 x yu_4
汪旭光	w aŋ_1 x yu_4 g u aŋ_1
汪时璟	w aŋ_1 sh iii_2 j iŋ_3
汪昂	w aŋ_1 aŋ_2
汪昉	w aŋ_1 f aŋ_3
汪昌云	w aŋ_1 ch aŋ_1 yu n_2
汪明	w aŋ_1 m iŋ_2
汪明荃	w aŋ_1 m iŋ_2 q yu an_2
汪星人	w aŋ_1 x iŋ_1 ʒ ən_2
汪星控	w aŋ_1 x iŋ_1 k uŋ_4
汪春元	w aŋ_1 ch u ən_1 yu an_2
汪春兰	w aŋ_1 ch u ən_1 l an_2
汪春源	w aŋ_1 ch u ən_1 yu an_2
汪昭	w aŋ_1 zh au_1
汪昱	w aŋ_1 yu_4
汪昱庭	w aŋ_1 yu_4 t iŋ_2
汪晋宽	w aŋ_1 j in_4 k u an_1
汪晓棠	w aŋ_1 x i au_3 t aŋ_2
汪晓波	w aŋ_1 x i au_3 b uɔ_1
汪晓源	w aŋ_1 x i au_3 yu an_2
汪晖	w aŋ_1 h u ei_1
汪景彦	w aŋ_1 j iŋ_3 y an_4
汪景祺	w aŋ_1 j iŋ_3 q ii_2
汪曙	w aŋ_1 sh uu_3
汪曰桢	w aŋ_1 yue_1 zh ən_1
汪曾祺	w aŋ_1 z əŋ_1 q ii_2
汪本贞	w aŋ_1 b ən_3 zh ən_1
汪机	w aŋ_1 j ii_1
汪村	w aŋ_1 ts u ən_1
汪杰	w aŋ_1 j ie_2
汪林	w aŋ_1 l in_2
汪林海	w aŋ_1 l in_2 h ai_3
汪某深	w aŋ_1 m əu_3 sh ən_1
汪栋	w aŋ_1 d uŋ_4
汪桂玲	w aŋ_1 g u ei_4 l iŋ_2
汪桂芬	w aŋ_1 g u ei_4 f ən_1
汪桂英	w aŋ_1 g u ei_4 y iŋ_1
汪梦川	w aŋ_1 m əŋ_4 ch u an_1
汪棣	w aŋ_1 d ii_4
汪森	w aŋ_1 s ən_1
汪楠	w aŋ_1 n an_2
汪楫	w aŋ_1 j ii_2
汪正正	w aŋ_1 zh əŋ_4 zh əŋ_4
汪步青	w aŋ_1 b uu_4 q iŋ_1
汪毅	w aŋ_1 y ii_4
汪氏	w aŋ_1 sh iii_4
汪民	w aŋ_1 m in_2
汪民安	w aŋ_1 m in_2 an_1
汪永晨	w aŋ_1 y uŋ_3 ch ən_2
汪永江	w aŋ_1 y uŋ_3 j i aŋ_1
汪永清	w aŋ_1 y uŋ_3 q iŋ_1
汪永芳	w aŋ_1 y uŋ_3 f aŋ_1
汪永贵	w aŋ_1 y uŋ_3 g u ei_4
汪汉年	w aŋ_1 h an_4 n i an_2
汪汉臣	w aŋ_1 h an_4 ch ən_2
汪汪	w aŋ_1 w aŋ_1
汪汪叫	w aŋ_1 w aŋ_1 j i au_4
汪汪控	w aŋ_1 w aŋ_1 k uŋ_4
汪汪汪	w aŋ_1 w aŋ_1 w aŋ_1
汪沁	w aŋ_1 q in_4
汪沆	w aŋ_1 h aŋ_4
汪河	w aŋ_1 h ə_2
汪泉	w aŋ_1 q yu an_2
汪泓	w aŋ_1 h uŋ_2
汪波	w aŋ_1 b uɔ_1
汪泽	w aŋ_1 z ə_2
汪泽民	w aŋ_1 z ə_2 m in_2
汪洁	w aŋ_1 j ie_2
汪洋	w aŋ_1 y aŋ_2
汪洋中的一条船	w aŋ_1 y aŋ_2 zh uŋ_1 d ə_0 y ii_4 t i au_2 ch u an_2
汪洋大海	w aŋ_1 y aŋ_2 d a_4 h ai_3
汪洋大肆	w aŋ_1 y aŋ_2 d a_4 s iii_4
汪洋恣肆	w aŋ_1 y aŋ_2 z iii_1 s iii_4
汪洋浩博	w aŋ_1 y aŋ_2 h au_4 b uɔ_2
汪洋自肆	w aŋ_1 y aŋ_2 z iii_4 s iii_4
汪洋闳肆	w aŋ_1 y aŋ_2 h uŋ_2 s iii_4
汪洙	w aŋ_1 zh uu_1
汪洪	w aŋ_1 h uŋ_2
汪洪涛	w aŋ_1 h uŋ_2 t au_1
汪洵	w aŋ_1 x yu n_2
汪流	w aŋ_1 l i əu_2
汪浩	w aŋ_1 h au_4
汪浩天	w aŋ_1 h au_4 t i an_1
汪海	w aŋ_1 h ai_3
汪海兵	w aŋ_1 h ai_3 b iŋ_1
汪海林	w aŋ_1 h ai_3 l in_2
汪海波	w aŋ_1 h ai_3 b uɔ_1
汪海洋	w aŋ_1 h ai_3 y aŋ_2
汪海涛	w aŋ_1 h ai_3 t au_1
汪海燕	w aŋ_1 h ai_3 y an_4
汪海粟	w aŋ_1 h ai_3 s uu_4
汪涓	w aŋ_1 j yu an_1
汪涛	w aŋ_1 t au_1
汪涵	w aŋ_1 h an_2
汪淇	w aŋ_1 q ii_2
汪清	w aŋ_1 q iŋ_1
汪清县	w aŋ_1 q iŋ_1 x i an_4
汪湖	w aŋ_1 h uu_2
汪源	w aŋ_1 yu an_2
汪溪	w aŋ_1 x ii_1
汪溶	w aŋ_1 ʒ uŋ_2
汪满田	w aŋ_1 m an_3 t i an_2
汪漪	w aŋ_1 y ii_1
汪潮	w aŋ_1 ch au_2
汪潮涌	w aŋ_1 ch au_2 y uŋ_3
汪澈	w aŋ_1 ch ə_4
汪灏	w aŋ_1 h au_4
汪炳文	w aŋ_1 b iŋ_3 w ən_2
汪然	w aŋ_1 ʒ an_2
汪爱群	w aŋ_1 ai_4 q yu n_2
汪猷	w aŋ_1 y əu_2
汪玉	w aŋ_1 yu_4
汪玉凯	w aŋ_1 yu_4 k ai_3
汪玉珍	w aŋ_1 yu_4 zh ən_1
汪玲	w aŋ_1 l iŋ_2
汪珂玉	w aŋ_1 k ə_1 yu_4
汪琥	w aŋ_1 h uu_3
汪琦	w aŋ_1 q ii_2
汪琨	w aŋ_1 k u ən_1
汪琪	w aŋ_1 q ii_2
汪琬	w aŋ_1 w an_3
汪琳	w aŋ_1 l in_2
汪琴	w aŋ_1 q in_2
汪瑞	w aŋ_1 ʒ u ei_4
汪瑞仁	w aŋ_1 ʒ u ei_4 ʒ ən_2
汪璐	w aŋ_1 l uu_4
汪甜甜	w aŋ_1 t i an_2 t i an_2
汪皓	w aŋ_1 h au_4
汪直	w aŋ_1 zh iii_2
汪直皆	w aŋ_1 zh iii_2 j ie_1
汪直领	w aŋ_1 zh iii_2 l iŋ_3
汪磊	w aŋ_1 l ei_3
汪祖杰	w aŋ_1 z uu_3 j ie_2
汪祥耀	w aŋ_1 x i aŋ_2 y au_4
汪福祥	w aŋ_1 f uu_2 x i aŋ_2
汪禹	w aŋ_1 yu_3
汪秀英	w aŋ_1 x i əu_4 y iŋ_1
汪立三	w aŋ_1 l ii_4 s an_1
汪立信	w aŋ_1 l ii_4 x in_4
汪立宏	w aŋ_1 l ii_4 h uŋ_2
汪立川	w aŋ_1 l ii_4 ch u an_1
汪端	w aŋ_1 d u an_1
汪笑侬	w aŋ_1 x i au_4 n uŋ_2
汪笨湖	w aŋ_1 b ən_4 h uu_2
汪筱林	w aŋ_1 x i au_3 l in_2
汪篯	w aŋ_1 j i an_3
汪粤	w aŋ_1 yue_4
汪精卫	w aŋ_1 j iŋ_1 w ei_4
汪紫菱	w aŋ_1 z iii_3 l iŋ_2
汪纲	w aŋ_1 g aŋ_1
汪绂	w aŋ_1 f uu_2
汪继培	w aŋ_1 j ii_4 p ei_2
汪绿萍	w aŋ_1 l yu_4 p iŋ_2
汪缙	w aŋ_1 j in_4
汪群	w aŋ_1 q yu n_2
汪群斌	w aŋ_1 q yu n_2 b in_1
汪群雅	w aŋ_1 q yu n_2 y a_3
汪老板	w aŋ_1 l au_3 b an_3
汪肇	w aŋ_1 zh au_4
汪自力	w aŋ_1 z iii_4 l ii_4
汪自新	w aŋ_1 z iii_4 x in_1
汪舸	w aŋ_1 g ə_3
汪良	w aŋ_1 l i aŋ_2
汪良明	w aŋ_1 l i aŋ_2 m iŋ_2
汪良臣	w aŋ_1 l i aŋ_2 ch ən_2
汪芒	w aŋ_1 m aŋ_2
汪芝	w aŋ_1 zh iii_1
汪芫	w aŋ_1 yu an_2
汪芬	w aŋ_1 f ən_1
汪芳	w aŋ_1 f aŋ_1
汪芷榆	w aŋ_1 zh iii_3 yu_2
汪苍县	w aŋ_1 ts aŋ_1 x i an_4
汪苏泷	w aŋ_1 s uu_1 l uŋ_2
汪荃珍	w aŋ_1 q yu an_2 zh ən_1
汪荣华	w aŋ_1 ʒ uŋ_2 h u a_2
汪荣宝	w aŋ_1 ʒ uŋ_2 b au_3
汪荣汉	w aŋ_1 ʒ uŋ_2 h an_4
汪荣祖	w aŋ_1 ʒ uŋ_2 z uu_3
汪莉	w aŋ_1 l ii_4
汪莱	w aŋ_1 l ai_2
汪菊潜	w aŋ_1 j yu_2 q i an_2
汪萌芽	w aŋ_1 m əŋ_2 y a_2
汪萍	w aŋ_1 p iŋ_2
汪蕊	w aŋ_1 ʒ u ei_3
汪藏海	w aŋ_1 ts aŋ_2 h ai_3
汪藻	w aŋ_1 z au_3
汪裕泰	w aŋ_1 yu_4 t ai_4
汪裴	w aŋ_1 p ei_2
汪诗诗	w aŋ_1 sh iii_1 sh iii_1
汪超	w aŋ_1 ch au_1
汪超群	w aŋ_1 ch au_1 q yu n_2
汪辉	w aŋ_1 h u ei_1
汪辉祖	w aŋ_1 h u ei_1 z uu_3
汪辜会谈	w aŋ_1 g uu_1 h u ei_4 t an_2
汪达怀斯	w aŋ_1 d a_2 h u ai_2 s iii_1
汪近圣	w aŋ_1 j in_4 sh əŋ_4
汪进	w aŋ_1 j in_4
汪远	w aŋ_1 yu an_3
汪连	w aŋ_1 l i an_2
汪逢春	w aŋ_1 f əŋ_2 ch u ən_1
汪道涵	w aŋ_1 d au_4 h an_2
汪遵	w aŋ_1 z u ən_1
汪遵熹	w aŋ_1 z u ən_1 x ii_1
汪野亭	w aŋ_1 y ie_3 t iŋ_2
汪金祥	w aŋ_1 j in_1 x i aŋ_2
汪金福	w aŋ_1 j in_1 f uu_2
汪鋐	w aŋ_1 h uŋ_2
汪鑫	w aŋ_1 x in_1
汪铎	w aŋ_1 d uɔ_2
汪铭珊	w aŋ_1 m iŋ_2 sh an_1
汪锋	w aŋ_1 f əŋ_1
汪键	w aŋ_1 j i an_4
汪集旸	w aŋ_1 j ii_2 y aŋ_2
汪集鸡汤	w aŋ_1 j ii_2 j ii_1 t aŋ_1
汪雨	w aŋ_1 yu_3
汪震	w aŋ_1 zh ən_4
汪霖	w aŋ_1 l in_2
汪霞	w aŋ_1 x i a_2
汪青松	w aŋ_1 q iŋ_1 s uŋ_1
汪静	w aŋ_1 j iŋ_4
汪顺	w aŋ_1 sh u ən_4
汪颖	w aŋ_1 y iŋ_3
汪骏	w aŋ_1 j yu n_4
汪鸣銮	w aŋ_1 m iŋ_2 l u an_2
汪鸾翔	w aŋ_1 l u an_2 x i aŋ_2
汪鸿志	w aŋ_1 h uŋ_2 zh iii_4
汪鸿雁	w aŋ_1 h uŋ_2 y an_4
汪鹏	w aŋ_1 p əŋ_2
汪龙	w aŋ_1 l uŋ_2
汪龙光	w aŋ_1 l uŋ_2 g u aŋ_1
汫	j iŋ_3
汬	j iŋ_3
汭	ʒ u ei_4
汮	j yu n_1
汯	h uŋ_2
汰	t ai_0
汰	t ai_4
汰劣留良	t ai_4 l ie_4 l i əu_2 l i aŋ_2
汰沙	t ai_4 sh a_1
汰渍	t ai_4 z iii_4
汱	q yu an_3
汲	j ii_2
汲冢书	j ii_2 zh uŋ_3 sh uu_1
汲冢古文	j ii_2 zh uŋ_2 g uu_3 w ən_2
汲冢周	j ii_2 zh uŋ_3 zh əu_1
汲冢所	j ii_2 zh uŋ_3 s uɔ_3
汲县	j ii_2 x i an_4
汲取	j ii_2 q yu_3
汲古	j ii_2 g uu_3
汲古阁	j ii_2 g uu_3 g ə_2
汲古阁本	j ii_2 g uu_3 g ə_2 b ən_3
汲引	j ii_2 y in_3
汲引忘疲	j ii_2 y in_3 w aŋ_4 p ii_2
汲桑	j ii_2 s aŋ_1
汲水	j ii_2 sh u ei_3
汲江煎茶	j ii_2 j i aŋ_1 j i an_1 ch a_2
汲汲	j ii_2 j ii_2
汲汲于	j ii_2 j ii_2 yu_2
汲汲忙忙	j ii_2 j ii_2 m aŋ_2 m aŋ_2
汲汲波波	j ii_2 j ii_2 b uɔ_1 b uɔ_1
汲汲皇皇	j ii_2 j ii_2 h u aŋ_2 h u aŋ_2
汲汲营营	j ii_2 j ii_2 y iŋ_2 y iŋ_2
汲汲顾影	j ii_2 j ii_2 g uu_4 y iŋ_3
汲深绠短	j ii_2 sh ən_1 g əŋ_2 d u an_3
汲玄	j ii_2 x yu an_2
汲郡	j ii_2 j yu n_4
汲金纯	j ii_2 j in_1 ch u ən_2
汲黯	j ii_2 an_4
汳	b i an_4
汴	b i an_4
汴京	b i an_4 j iŋ_1
汴宋	b i an_4 s uŋ_4
汴州	b i an_4 zh əu_1
汴梁	b i an_4 l i aŋ_2
汴水	b i an_4 sh u ei_3
汴河	b i an_4 h ə_2
汴河怀古	b i an_4 h ə_2 h u ai_2 g uu_3
汴洛	b i an_4 l uɔ_4
汴渠	b i an_4 q yu_2
汴绣	b i an_4 x i əu_4
汵	h an_2
汶	w ən_4
汶上	w ən_4 sh aŋ_4
汶县	w ən_4 x i an_4
汶山	w ən_4 sh an_1
汶山太守	w ən_4 sh an_1 t ai_4 sh əu_3
汶山郡	w ən_4 sh an_1 j yu n_4
汶川	w ən_4 ch u an_1
汶川县	w ən_4 ch u an_1 x i an_4
汶川地震	w ən_4 ch u an_1 d ii_4 zh ən_4
汶川故事	w ən_4 ch u an_1 g uu_4 sh iii_0
汶州	w ən_4 zh əu_1
汶村	w ən_4 ts u ən_1
汶水	w ən_4 sh u ei_3
汶河	w ən_4 h ə_2
汶河路	w ən_4 h ə_2 l uu_4
汶羲	w ən_4 x ii_1
汶莱	w ən_4 l ai_2
汶錡	w ən_4 y ii_3
汶阳	w ən_4 y aŋ_2
汶阳田	w ən_4 y aŋ_2 t i an_2
汶麟	w ən_4 l in_2
汷	zh uŋ_1
汸	p aŋ_1
汹	x i uŋ_1
汹汹	x i uŋ_1 x i uŋ_1
汹涌	x i uŋ_1 y uŋ_3
汹涌淜湃	x i uŋ_1 y uŋ_3 p əŋ_2 p ai_0
汹涌澎湃	x i uŋ_1 y uŋ_3 p əŋ_2 p ai_4
汻	h u aŋ_3
汼	n i əu_2
汽	q ii_4
汽保	q ii_4 b au_3
汽保工具	q ii_4 b au_3 g uŋ_1 j yu_4
汽保设备	q ii_4 b au_3 sh ə_4 b ei_4
汽修	q ii_4 x i əu_1
汽修业	q ii_4 x i əu_1 y ie_4
汽修培训	q ii_4 x i əu_1 p ei_2 x yu n_4
汽修工具	q ii_4 x i əu_1 g uŋ_1 j yu_4
汽修技师	q ii_4 x i əu_1 j ii_4 sh iii_1
汽力	q ii_4 l ii_4
汽包	q ii_4 b au_1
汽化	q ii_4 h u a_4
汽化器	q ii_4 h u a_4 q ii_4
汽化热	q ii_4 h u a_4 ʒ ə_4
汽博会	q ii_4 b uɔ_2 h u ei_4
汽提塔	q ii_4 t ii_2 t a_3
汽暖	q ii_4 n u an_3
汽机	q ii_4 j ii_1
汽枪	q ii_4 q i aŋ_1
汽柴油	q ii_4 ch ai_2 y əu_2
汽水	q ii_4 sh u ei_3
汽水瓶	q ii_4 sh u ei_3 p iŋ_2
汽水肉	q ii_4 sh u ei_3 ʒ əu_4
汽油	q ii_4 y əu_2
汽油弹	q ii_4 y əu_2 d an_4
汽油机	q ii_4 y əu_2 j ii_1
汽油桶	q ii_4 y əu_2 t uŋ_3
汽油泵	q ii_4 y əu_2 b əŋ_4
汽油费	q ii_4 y əu_2 f ei_4
汽油车	q ii_4 y əu_2 ch ə_1
汽泵	q ii_4 b əŋ_4
汽海	q ii_4 h ai_3
汽液平衡	q ii_4 y ie_4 p iŋ_2 h əŋ_2
汽渡	q ii_4 d uu_4
汽灯	q ii_4 d əŋ_1
汽狗	q ii_4 g əu_3
汽球	q ii_4 q i əu_2
汽碾	q ii_4 n i an_3
汽笛	q ii_4 d ii_2
汽笛声	q ii_4 d ii_2 sh əŋ_1
汽筒	q ii_4 t uŋ_3
汽糕	q ii_4 g au_1
汽缸	q ii_4 g aŋ_1
汽缸盖	q ii_4 g aŋ_1 g ai_4
汽联	q ii_4 l i an_2
汽船	q ii_4 ch u an_2
汽艇	q ii_4 t iŋ_3
汽蚀	q ii_4 sh iii_2
汽蚀现象	q ii_4 sh iii_2 x i an_4 x i aŋ_4
汽表	q ii_4 b i au_3
汽贸	q ii_4 m au_4
汽车	q ii_4 ch ə_1
汽车业	q ii_4 ch ə_1 y ie_4
汽车之友	q ii_4 ch ə_1 zh iii_1 y əu_3
汽车之家	q ii_4 ch ə_1 zh iii_1 j i a_1
汽车人	q ii_4 ch ə_1 ʒ ən_2
汽车保养	q ii_4 ch ə_1 b au_2 y aŋ_3
汽车兵	q ii_4 ch ə_1 b iŋ_1
汽车养护	q ii_4 ch ə_1 y aŋ_3 h uu_4
汽车凹陷修复	q ii_4 ch ə_1 au_1 x i an_4 x i əu_1 f uu_4
汽车制动系统	q ii_4 ch ə_1 zh iii_4 d uŋ_4 x ii_4 t uŋ_3
汽车厂	q ii_4 ch ə_1 ch aŋ_3
汽车吊	q ii_4 ch ə_1 d i au_4
汽车品牌	q ii_4 ch ə_1 p in_3 p ai_2
汽车团	q ii_4 ch ə_1 t u an_2
汽车城	q ii_4 ch ə_1 ch əŋ_2
汽车宝贝	q ii_4 ch ə_1 b au_3 b ei_4
汽车尾气	q ii_4 ch ə_1 w ei_3 q ii_4
汽车尾气污染	q ii_4 ch ə_1 w ei_3 q ii_4 w uu_1 ʒ an_3
汽车展	q ii_4 ch ə_1 zh an_3
汽车工业	q ii_4 ch ə_1 g uŋ_1 y ie_4
汽车工厂	q ii_4 ch ə_1 g uŋ_1 ch aŋ_3
汽车工程专业	q ii_4 ch ə_1 g uŋ_1 ch əŋ_2 zh u an_1 y ie_4
汽车库	q ii_4 ch ə_1 k uu_4
汽车底盘构造	q ii_4 ch ə_1 d ii_3 p an_2 g əu_4 z au_4
汽车总动员2	q ii_4 ch ə_1 z uŋ_3 d uŋ_4 yu an_2 ər_4
汽车排放标准	q ii_4 ch ə_1 p ai_2 f aŋ_4 b i au_1 zh u ən_3
汽车改装	q ii_4 ch ə_1 g ai_3 zh u aŋ_1
汽车救援	q ii_4 ch ə_1 j i əu_4 yu an_2
汽车旅馆	q ii_4 ch ə_1 l yu_2 g u an_3
汽车杂志	q ii_4 ch ə_1 z a_2 zh iii_4
汽车材料	q ii_4 ch ə_1 ts ai_2 l i au_4
汽车构造	q ii_4 ch ə_1 g əu_4 z au_4
汽车概论	q ii_4 ch ə_1 g ai_4 l u ən_4
汽车漂移	q ii_4 ch ə_1 p i au_1 y ii_2
汽车漆	q ii_4 ch ə_1 q ii_1
汽车灯	q ii_4 ch ə_1 d əŋ_1
汽车知识	q ii_4 ch ə_1 zh iii_1 sh iii_2
汽车票	q ii_4 ch ə_1 p i au_4
汽车空调	q ii_4 ch ə_1 k uŋ_1 t i au_2
汽车站	q ii_4 ch ə_1 zh an_4
